MeterId,StartDate,EndDate,Value (kWh),Notes
1008901023804960410100,2018-10-08 00:00:00,2018-10-09 00:00:00,30.632,
1008901023804960410100,2018-10-09 00:00:00,2018-10-10 00:00:00,29.768,
1008901023804960410100,2018-10-10 00:00:00,2018-10-11 00:00:00,33.38,
1008901023804960410100,2018-10-11 00:00:00,2018-10-12 00:00:00,33.209,
1008901023804960410100,2018-10-12 00:00:00,2018-10-13 00:00:00,25.702,
1008901023804960410100,2018-10-13 00:00:00,2018-10-14 00:00:00,19.561,
1008901023804960410100,2018-10-14 00:00:00,2018-10-15 00:00:00,23.924,
1008901023804960410100,2018-10-15 00:00:00,2018-10-16 00:00:00,12.694,
1008901023804960410100,2018-10-16 00:00:00,2018-10-17 00:00:00,13.386,
1008901023804960410100,2018-10-17 00:00:00,2018-10-18 00:00:00,9.86,
1008901023804960410100,2018-10-18 00:00:00,2018-10-19 00:00:00,10.71,
1008901023804960410100,2018-10-19 00:00:00,2018-10-20 00:00:00,17.668,
1008901023804960410100,2018-10-20 00:00:00,2018-10-21 00:00:00,12.082,
1008901023804960410100,2018-10-21 00:00:00,2018-10-22 00:00:00,12.245,
1008901023804960410100,2018-10-22 00:00:00,2018-10-23 00:00:00,11.224,
1008901023804960410100,2018-10-23 00:00:00,2018-10-24 00:00:00,11.743,
1008901023804960410100,2018-10-24 00:00:00,2018-10-25 00:00:00,13.459,
1008901023804960410100,2018-10-25 00:00:00,2018-10-26 00:00:00,9.519,
1008901023804960410100,2018-10-26 00:00:00,2018-10-27 00:00:00,9.989,
1008901023804960410100,2018-10-27 00:00:00,2018-10-28 00:00:00,13.046,
1008901023804960410100,2018-10-28 00:00:00,2018-10-29 00:00:00,20.775,
1008901023804960410100,2018-10-29 00:00:00,2018-10-30 00:00:00,16.55,
1008901023804960410100,2018-10-30 00:00:00,2018-10-31 00:00:00,14.739,
1008901023804960410100,2018-10-31 00:00:00,2018-11-01 00:00:00,13.418,
1008901023804960410100,2018-11-01 00:00:00,2018-11-02 00:00:00,10.522,
1008901023804960410100,2018-11-02 00:00:00,2018-11-03 00:00:00,12.108,
1008901023804960410100,2018-11-03 00:00:00,2018-11-04 00:00:00,14.914,
1008901023804960410100,2018-11-04 00:00:00,2018-11-05 00:00:00,16.757,
1008901023804960410100,2018-11-05 00:00:00,2018-11-06 00:00:00,17.629,
1008901023804960410100,2018-11-06 00:00:00,2018-11-07 00:00:00,23.778,
1008901023804960410100,2018-11-07 00:00:00,2018-11-08 00:00:00,20.205,
1008901023804960410100,2018-11-08 00:00:00,2018-11-09 00:00:00,11.749,
1008901023804960410100,2018-11-09 00:00:00,2018-11-10 00:00:00,10.816,
1008901023804960410100,2018-11-10 00:00:00,2018-11-11 00:00:00,16.417,
1008901023804960410100,2018-11-11 00:00:00,2018-11-12 00:00:00,24.513,
1008901023804960410100,2018-11-12 00:00:00,2018-11-13 00:00:00,36.101,
1008901023804960410100,2018-11-13 00:00:00,2018-11-14 00:00:00,41.184,
1008901023804960410100,2018-11-14 00:00:00,2018-11-15 00:00:00,32.929,
1008901023804960410100,2018-11-15 00:00:00,2018-11-16 00:00:00,32.328,
1008901023804960410100,2018-11-16 00:00:00,2018-11-17 00:00:00,24.642,
1008901023804960410100,2018-11-17 00:00:00,2018-11-18 00:00:00,18.075,
1008901023804960410100,2018-11-18 00:00:00,2018-11-19 00:00:00,20.022,
1008901023804960410100,2018-11-19 00:00:00,2018-11-20 00:00:00,23.682,
1008901023804960410100,2018-11-20 00:00:00,2018-11-21 00:00:00,12.928,
1008901023804960410100,2018-11-21 00:00:00,2018-11-22 00:00:00,11.618,
1008901023804960410100,2018-11-22 00:00:00,2018-11-23 00:00:00,13.871,
1008901023804960410100,2018-11-23 00:00:00,2018-11-24 00:00:00,16.772,
1008901023804960410100,2018-11-24 00:00:00,2018-11-25 00:00:00,14.572,
1008901023804960410100,2018-11-25 00:00:00,2018-11-26 00:00:00,22.591,
1008901023804960410100,2018-11-26 00:00:00,2018-11-27 00:00:00,17.822,
1008901023804960410100,2018-11-27 00:00:00,2018-11-28 00:00:00,15.095,
1008901023804960410100,2018-11-28 00:00:00,2018-11-29 00:00:00,13.753,
1008901023804960410100,2018-11-29 00:00:00,2018-11-30 00:00:00,10.373,
1008901023804960410100,2018-11-30 00:00:00,2018-12-01 00:00:00,20.745,
1008901023804960410100,2018-12-01 00:00:00,2018-12-02 00:00:00,29.831,
1008901023804960410100,2018-12-02 00:00:00,2018-12-03 00:00:00,19.659,
1008901023804960410100,2018-12-03 00:00:00,2018-12-04 00:00:00,15.947,
1008901023804960410100,2018-12-04 00:00:00,2018-12-05 00:00:00,11.423,
